source_row,state,district,fds_name,latitude_raw,longitude_raw,team,mode,named_kk,reported_kk_distance_km,fds_id,latitude,longitude,coordinate_precision_review,valid_coordinates,kk_key,kk_id,match_method,kk_name,latitude_kk,longitude_kk,valid_coordinates_kk,nearest_nadi_id,nearest_nadi_name,nadi_longitude,nadi_latitude,nearest_nadi_km,nearest_nadi_status,distance_band_original_1_3km,distance_band,nadi_within_5km,nadi_within_10km,nearest_open_nadi_id,nearest_open_nadi_name,nearest_open_nadi_km,nearest_listed_nadi_id,nearest_listed_nadi_name,nearest_listed_nadi_status,nearest_listed_nadi_km,named_kk_distance_km,geographic_nearest_kk_id,geographic_nearest_kk_name,geographic_nearest_kk_km,site_group,site_id,candidates_within_10km,candidates_within_5km,nearest_mapped_road_km,nearest_track_km,nearest_waterway_km,nearest_river_km,mapped_road_length_10km_km,mapped_track_length_10km_km,mapped_waterway_length_10km_km,nearest_candidate,nearest_candidate_km,site_map,dem_grid_m,local_epsg,dem_coverage_pct,fds_elevation_m,fds_slope_deg,elevation_min_10km_m,elevation_max_10km_m,relief_10km_m,slope_mean_10km_deg,slope_p90_10km_deg,pct_slope_over15deg_10km,pct_slope_over30deg_10km,relief_5km_m,slope_mean_5km_deg,pct_slope_over15deg_5km
3,SARAWAK,SRI AMAN,NANGA BAWI,1.35175,111.873,FDS (P) PKD SRI AMAN 1,Udara,KK Patoh,70,F001,1.35175,111.873,,TRUE,PATOH,K0408,documented name alias,Klinik Kesihatan Nanga Patoh,1.335922,111.83277,TRUE,Q149,Engkilili,111.666259,1.138464,33.02560546981243,OPEN,red,red,0,0,Q149,Engkilili,33.02560546981243,Q149,Engkilili,OPEN,33.02560546981243,4.806006526498414,K0408,Klinik Kesihatan Nanga Patoh,4.806006526498414,1,S001,4,1,4.796749032577367,0.04503765882373583,0.03163505441335187,0.03163505441335187,31.891300839023437,247.4604342364566,73.02170070345622,Klinik Kesihatan Nanga Patoh,4.806006526498423,site_maps/S001.png,40,32649,100,153.21958923339844,8.613553512901746,58.25749969482422,877.154296875,818.8967971801758,16.670781769589272,26.239723405557612,58.366208610111045,3.606307996551899,639.2737503051758,16.43604616533503,57.89388743191446
4,SARAWAK,SRI AMAN,(+ RH. DASU),1.35175,111.873,FDS (P) PKD SRI AMAN 1,Udara,KK Patoh,70,F002,1.35175,111.873,,TRUE,PATOH,K0408,documented name alias,Klinik Kesihatan Nanga Patoh,1.335922,111.83277,TRUE,Q149,Engkilili,111.666259,1.138464,33.02560546981243,OPEN,red,red,0,0,Q149,Engkilili,33.02560546981243,Q149,Engkilili,OPEN,33.02560546981243,4.806006526498414,K0408,Klinik Kesihatan Nanga Patoh,4.806006526498414,1,S001,4,1,4.796749032577367,0.04503765882373583,0.03163505441335187,0.03163505441335187,31.891300839023437,247.4604342364566,73.02170070345622,Klinik Kesihatan Nanga Patoh,4.806006526498423,site_maps/S001.png,40,32649,100,153.21958923339844,8.613553512901746,58.25749969482422,877.154296875,818.8967971801758,16.670781769589272,26.239723405557612,58.366208610111045,3.606307996551899,639.2737503051758,16.43604616533503,57.89388743191446
5,SARAWAK,SRI AMAN,(+ RH. CHENDAN),1.35175,111.873,FDS (P) PKD SRI AMAN 1,Udara,KK Patoh,70,F003,1.35175,111.873,,TRUE,PATOH,K0408,documented name alias,Klinik Kesihatan Nanga Patoh,1.335922,111.83277,TRUE,Q149,Engkilili,111.666259,1.138464,33.02560546981243,OPEN,red,red,0,0,Q149,Engkilili,33.02560546981243,Q149,Engkilili,OPEN,33.02560546981243,4.806006526498414,K0408,Klinik Kesihatan Nanga Patoh,4.806006526498414,1,S001,4,1,4.796749032577367,0.04503765882373583,0.03163505441335187,0.03163505441335187,31.891300839023437,247.4604342364566,73.02170070345622,Klinik Kesihatan Nanga Patoh,4.806006526498423,site_maps/S001.png,40,32649,100,153.21958923339844,8.613553512901746,58.25749969482422,877.154296875,818.8967971801758,16.670781769589272,26.239723405557612,58.366208610111045,3.606307996551899,639.2737503051758,16.43604616533503,57.89388743191446
6,SARAWAK,SRI AMAN,(+ RH. BAKAR),1.35175,111.873,FDS (P) PKD SRI AMAN 1,Udara,KK Patoh,70,F004,1.35175,111.873,,TRUE,PATOH,K0408,documented name alias,Klinik Kesihatan Nanga Patoh,1.335922,111.83277,TRUE,Q149,Engkilili,111.666259,1.138464,33.02560546981243,OPEN,red,red,0,0,Q149,Engkilili,33.02560546981243,Q149,Engkilili,OPEN,33.02560546981243,4.806006526498414,K0408,Klinik Kesihatan Nanga Patoh,4.806006526498414,1,S001,4,1,4.796749032577367,0.04503765882373583,0.03163505441335187,0.03163505441335187,31.891300839023437,247.4604342364566,73.02170070345622,Klinik Kesihatan Nanga Patoh,4.806006526498423,site_maps/S001.png,40,32649,100,153.21958923339844,8.613553512901746,58.25749969482422,877.154296875,818.8967971801758,16.670781769589272,26.239723405557612,58.366208610111045,3.606307996551899,639.2737503051758,16.43604616533503,57.89388743191446
7,SARAWAK,SRI AMAN,(+ RH. LUTA),1.35175,111.873,FDS (P) PKD SRI AMAN 1,Udara,KK Patoh,70,F005,1.35175,111.873,,TRUE,PATOH,K0408,documented name alias,Klinik Kesihatan Nanga Patoh,1.335922,111.83277,TRUE,Q149,Engkilili,111.666259,1.138464,33.02560546981243,OPEN,red,red,0,0,Q149,Engkilili,33.02560546981243,Q149,Engkilili,OPEN,33.02560546981243,4.806006526498414,K0408,Klinik Kesihatan Nanga Patoh,4.806006526498414,1,S001,4,1,4.796749032577367,0.04503765882373583,0.03163505441335187,0.03163505441335187,31.891300839023437,247.4604342364566,73.02170070345622,Klinik Kesihatan Nanga Patoh,4.806006526498423,site_maps/S001.png,40,32649,100,153.21958923339844,8.613553512901746,58.25749969482422,877.154296875,818.8967971801758,16.670781769589272,26.239723405557612,58.366208610111045,3.606307996551899,639.2737503051758,16.43604616533503,57.89388743191446
8,SARAWAK,SRI AMAN,"RH. LIDOM, SG PAYA, MENJUAU",1.56899722222222,111.822083333333,FDS (P) PKD SRI AMAN 1,Udara,KK KARA,50,F006,1.56899722222222,111.822083333333,,TRUE,KARA,NA,unmatched,NA,NA,NA,NA,Q93,Paku Penom,111.587942,1.619842,26.63230823609008,OPEN,red,red,0,0,Q93,Paku Penom,26.63230823609008,Q93,Paku Penom,OPEN,26.63230823609008,NA,K0293,Klinik Kesihatan Kemalih,8.990219101263055,2,S002,1,0,4.199951982882518,0.018526883663218766,0.06490164402108994,1.1854689300364414,66.46819779753464,58.84830980559056,61.86028799958498,Klinik Kesihatan Kemalih,8.99021910126303,site_maps/S002.png,40,32649,100,159.09178161621094,6.832929787530322,93.2596435546875,827.833984375,734.5743408203125,15.816324248366564,25.385201936266224,52.98940323480201,3.255589920397505,504.1258087158203,16.08862973201439,55.26294547362474
9,SARAWAK,SRI AMAN,"RH. RIMONG, BEGANTONG, ULU SKRANG",1.51869444444444,111.792,FDS (P) PKD SRI AMAN 1,Udara,KK SKRANG,105,F007,1.51869444444444,111.792,,TRUE,SKRANG,K0492,exact normalized name,Klinik Kesihatan Skrang,1.280156,111.62453,TRUE,Q93,Paku Penom,111.587942,1.619842,25.317162857038813,OPEN,red,red,0,0,Q93,Paku Penom,25.317162857038813,Q93,Paku Penom,OPEN,25.317162857038813,32.40531686084838,K0392,Klinik Kesihatan Nanga Entalau,6.918751200952197,3,S003,1,0,5.581821860401849,0.08919913265496232,2.272614611678805,2.573149687937224,55.40556573411573,71.56379806960756,55.88309408947414,Klinik Kesihatan Nanga Entalau,6.918751200952197,site_maps/S003.png,40,32649,100,246.309326171875,18.91370367470877,66.958648681640625,826.12750244140625,759.1688537597656,16.123885989698515,25.44408574436233,55.20054350305974,3.337575225994859,736.2140884399414,17.40771780680365,61.060554087047755
10,SARAWAK,SRI AMAN,"RH. BADA, NG. TALONG, ULU ENGKARI",1.38835833333333,111.9835,FDS (P) PKD SRI AMAN 1,Udara,KK STAMANG,60,F008,1.38835833333333,111.9835,,TRUE,STAMANG,K0411,documented name alias,Klinik Kesihatan Nanga Stamang,1.31299,111.94352,TRUE,Q154,Lubok Antu,111.83647,1.04125,41.91513065932925,OPEN,red,red,0,0,Q154,Lubok Antu,41.91513065932925,Q154,Lubok Antu,OPEN,41.91513065932925,9.486120321451166,K0411,Klinik Kesihatan Nanga Stamang,9.486120321451166,4,S004,1,0,NA,1.4972767867737478,0.0442688731589985,0.0442688731589985,0,67.7376570181206,30.211964587171487,Klinik Kesihatan Nanga Stamang,9.486120321451185,site_maps/S004.png,40,32649,100,261.04986572265625,7.191005699264812,136.83251953125,1282.4991455078125,1145.6666259765625,20.45887428823594,30.235809323150153,75.554710475611,10.584119257681776,703.2003021240234,19.89899625230233,73.90611446208469
11,SARAWAK,SRI AMAN,"RH. MAMUT, LANGGIR, ULU LINGGA",1.28430555555556,111.161222222222,FDS (P) PKD SRI AMAN 1,Udara,KK LINGGA,45,F009,1.28430555555556,111.161222222222,,TRUE,LINGGA,K0324,exact normalized name,Klinik Kesihatan Lingga,1.35271,111.1676,TRUE,Q134,Lingga,111.168268,1.35401,7.790267400144805,OPEN,red,yellow,0,1,Q134,Lingga,7.790267400144805,Q134,Lingga,OPEN,7.790267400144805,7.639210701982383,K0324,Klinik Kesihatan Lingga,7.639210701982383,5,S005,6,0,3.996797378595613,4.848526022926861,2.6476972765470816,2.6476972765470816,33.54586591408856,13.348588699733819,54.76371933982393,Pos Malaysia Lingga,7.589340902120279,site_maps/S005.png,40,32649,100,10.58346176147461,7.081656720533408,-63.310523986816406,533,596.3105239868164,4.235307997269355,11.381764192782258,6.795146758336756,0.39193019282154246,536.19358253479,6.769366210855246,16.604808778441182
12,SARAWAK,SRI AMAN,"RH.THOMAS,BANGAI",1.41914722222222,111.869666666667,FDS (P) PKD SRI AMAN 1,Udara,KK ENGKELILI,150,F010,1.41914722222222,111.869666666667,,TRUE,ENGKELILI,K0219,documented name alias,Klinik Kesihatan Engkilili,1.137979,111.638972,TRUE,Q126,Kampung Baru Hulu,111.532168,1.417356,37.51723052450587,OPEN,red,red,0,0,Q126,Kampung Baru Hulu,37.51723052450587,Q126,Kampung Baru Hulu,OPEN,37.51723052450587,40.43727142470371,K0392,Klinik Kesihatan Nanga Entalau,9.765586924491437,6,S006,1,0,2.8112953922007446,0.031880096506390725,0.010165026353009976,0.010165026353009976,45.17398005687025,99.87805830902536,48.41982347098573,Klinik Kesihatan Nanga Entalau,9.765586924491437,site_maps/S006.png,40,32649,100,172.8697509765625,13.73298132571899,82.42656707763672,1075.40869140625,992.9821243286132,17.94443262406535,27.969267073655587,64.14978576680272,6.245975204725807,692.4693069458008,17.452820096266098,62.44478063540091
