fds_id,fds_name,state,previous_nadi,previous_km,nearest_nadi,nearest_nadi_status,sf_km,independent_haversine_km,sf_haversine_error_metres,old_script_reproduced_nadi,old_script_reproduced_km,old_export_reproduction_error_km,difference_from_old_km,nearest_open_nadi,nearest_open_km
F001,NANGA BAWI,SARAWAK,Engkilili,33.06,Engkilili,OPEN,33.02560546981243,33.02560546981266,2.2737367544323206e-10,Engkilili,33.062549924488344,0.0025499244883420147,-0.03439453018756922,Engkilili,33.02560546981243
F002,(+ RH. DASU),SARAWAK,Engkilili,33.06,Engkilili,OPEN,33.02560546981243,33.02560546981266,2.2737367544323206e-10,Engkilili,33.062549924488344,0.0025499244883420147,-0.03439453018756922,Engkilili,33.02560546981243
F003,(+ RH. CHENDAN),SARAWAK,Engkilili,33.06,Engkilili,OPEN,33.02560546981243,33.02560546981266,2.2737367544323206e-10,Engkilili,33.062549924488344,0.0025499244883420147,-0.03439453018756922,Engkilili,33.02560546981243
F004,(+ RH. BAKAR),SARAWAK,Engkilili,33.06,Engkilili,OPEN,33.02560546981243,33.02560546981266,2.2737367544323206e-10,Engkilili,33.062549924488344,0.0025499244883420147,-0.03439453018756922,Engkilili,33.02560546981243
F005,(+ RH. LUTA),SARAWAK,Engkilili,33.06,Engkilili,OPEN,33.02560546981243,33.02560546981266,2.2737367544323206e-10,Engkilili,33.062549924488344,0.0025499244883420147,-0.03439453018756922,Engkilili,33.02560546981243
F006,"RH. LIDOM, SG PAYA, MENJUAU",SARAWAK,Paku Penom,26.66,Paku Penom,OPEN,26.63230823609008,26.63230823609044,3.623767952376511e-10,Paku Penom,26.662100758908426,0.0021007589084263145,-0.027691763909921008,Paku Penom,26.63230823609008
F007,"RH. RIMONG, BEGANTONG, ULU SKRANG",SARAWAK,Paku Penom,25.35,Paku Penom,OPEN,25.317162857038813,25.31716285703913,3.161915174132446e-10,Paku Penom,25.345484178098445,0.004515821901556194,-0.03283714296118845,Paku Penom,25.317162857038813
F008,"RH. BADA, NG. TALONG, ULU ENGKARI",SARAWAK,Lubok Antu,41.96,Lubok Antu,OPEN,41.91513065932925,41.915130659329165,8.526512829121202e-11,Lubok Antu,41.96201947856019,0.0020194785601859166,-0.044869340670750546,Lubok Antu,41.91513065932925
F009,"RH. MAMUT, LANGGIR, ULU LINGGA",SARAWAK,Lingga,7.8,Lingga,OPEN,7.790267400144805,7.790267400144768,3.730349362740526e-11,Lingga,7.798982067954241,0.0010179320457588403,-0.00973259985519448,Lingga,7.790267400144805
F010,"RH.THOMAS,BANGAI",SARAWAK,Kampung Baru Hulu,37.56,Kampung Baru Hulu,OPEN,37.51723052450587,37.517230524505564,3.055333763768431e-10,Kampung Baru Hulu,37.55919958466214,0.0008004153378635692,-0.04276947549413279,Kampung Baru Hulu,37.51723052450587
F011,"RH.MUNGGU SAWA,PANTU",SARAWAK,Lingga,13.68,Lingga,OPEN,13.665903719666824,13.665903719666813,1.0658141036401503e-11,Lingga,13.681191232291981,0.001191232291981592,-0.01409628033317567,Lingga,13.665903719666824
F012,SK KOTA,SARAWAK,Paku Penom,9.98,Paku Penom,OPEN,9.972237911755162,9.972237911755474,3.126388037344441e-10,Paku Penom,9.98339346473641,0.0033934647364102233,-0.007762088244838594,Paku Penom,9.972237911755162
F013,RH UMAR,SARAWAK,Pekan Pakan,16.36,Pekan Pakan,OPEN,16.345889754490287,16.345889754490585,2.984279490192421e-10,Pekan Pakan,16.364175262797787,0.004175262797787127,-0.014110245509712627,Pekan Pakan,16.345889754490287
F014,RH BARAK,SARAWAK,Nanga Meluan,12.59,Nanga Meluan,OPEN,12.575995823757205,12.575995823757282,7.638334409421077e-11,Nanga Meluan,12.590064098997143,6.409899714299172e-05,-0.014004176242794486,Nanga Meluan,12.575995823757205
F015,RH TAWIE,SARAWAK,Pekan Pakan,12.12,Pekan Pakan,OPEN,12.1062040062777,12.106204006277846,1.4566126083082054e-10,Pekan Pakan,12.119746743764168,0.0002532562358315005,-0.013795993722299116,Pekan Pakan,12.1062040062777
F016,RH BUGIE,SARAWAK,Nanga Meluan,4.22,Nanga Meluan,OPEN,4.212586365735702,4.212586365735659,4.3520742565306136e-11,Nanga Meluan,4.217298821536011,0.0027011784639885406,-0.007413634264297642,Nanga Meluan,4.212586365735702
F017,RH ENGGIE,SARAWAK,Paku Penom,23.25,Paku Penom,OPEN,23.22661708023934,23.226617080239453,1.1368683772161603e-10,Paku Penom,23.25259978940658,0.00259978940658101,-0.023382919760660315,Paku Penom,23.22661708023934
F018,SK JU,SARAWAK,Nanga Meluan,24.16,Nanga Meluan,OPEN,24.13009938007504,24.130099380074906,1.3500311979441904e-10,Nanga Meluan,24.15709277959583,0.0029072204041717953,-0.02990061992495896,Nanga Meluan,24.13009938007504
F019,SK JAMBU,SARAWAK,Nanga Meluan,21.47,Nanga Meluan,OPEN,21.441375176734805,21.44137517673482,1.4210854715202004e-11,Nanga Meluan,21.46536080552595,0.00463919447404848,-0.028624823265193555,Nanga Meluan,21.441375176734805
F020,RH KIROH,SARAWAK,Nanga Meluan,9.84,Nanga Meluan,OPEN,9.831533535963738,9.831533535963901,1.6342482922482304e-10,Nanga Meluan,9.842531688456335,0.0025316884563348907,-0.008466464036262167,Nanga Meluan,9.831533535963738
F021,RH JANTING,SARAWAK,Nanga Meluan,21.36,Nanga Meluan,OPEN,21.334412412372117,21.33441241237222,1.0302869668521453e-10,Nanga Meluan,21.35827838609742,0.0017216139025784116,-0.025587587627882158,Nanga Meluan,21.334412412372117
