NEGERI,DAERAH,LOKASI FDS,KK RUJUKAN (SENARAI FDS),JARAK FDS-KK (KM),NADI TERDEKAT,STATUS NADI,JARAK FDS-NADI (KM)
SARAWAK,SRI AMAN,NANGA BAWI,Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,(+ RH. DASU),Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,(+ RH. CHENDAN),Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,(+ RH. BAKAR),Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,(+ RH. LUTA),Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,"RH. LIDOM, SG PAYA, MENJUAU",KK KARA,,Paku Penom,OPEN,26.63
SARAWAK,SRI AMAN,"RH. RIMONG, BEGANTONG, ULU SKRANG",Klinik Kesihatan Skrang,32.41,Paku Penom,OPEN,25.32
SARAWAK,SRI AMAN,"RH. BADA, NG. TALONG, ULU ENGKARI",Klinik Kesihatan Nanga Stamang,9.49,Lubok Antu,OPEN,41.92
SARAWAK,SRI AMAN,"RH. MAMUT, LANGGIR, ULU LINGGA",Klinik Kesihatan Lingga,7.64,Lingga,OPEN,7.79
SARAWAK,SRI AMAN,"RH.THOMAS,BANGAI",Klinik Kesihatan Engkilili,40.44,Kampung Baru Hulu,OPEN,37.52
SARAWAK,SRI AMAN,"RH.MUNGGU SAWA,PANTU",Klinik Kesihatan Pantu,11.67,Lingga,OPEN,13.67
SARAWAK,SARIKEI,SK KOTA,Klinik Kesihatan Nanga Kara,28.48,Paku Penom,OPEN,9.97
SARAWAK,SARIKEI,RH UMAR,Klinik Kesihatan Pakan,16.18,Pekan Pakan,OPEN,16.35
SARAWAK,SARIKEI,RH BARAK,Klinik Kesihatan Sekalong,6.37,Nanga Meluan,OPEN,12.58
SARAWAK,SARIKEI,RH TAWIE,Klinik Kesihatan Sekalong,8.93,Pekan Pakan,OPEN,12.11
SARAWAK,SARIKEI,RH BUGIE,Klinik Kesihatan Julau,14.95,Nanga Meluan,OPEN,4.21
SARAWAK,SARIKEI,RH ENGGIE,Klinik Kesihatan Nanga Tiga,10.98,Paku Penom,OPEN,23.23
SARAWAK,SARIKEI,SK JU,Klinik Kesihatan Maong (Mujok),6.43,Nanga Meluan,OPEN,24.13
SARAWAK,SARIKEI,SK JAMBU,Klinik Kesihatan Nanga Ensiring,11.00,Nanga Meluan,OPEN,21.44
SARAWAK,SARIKEI,RH KIROH,Klinik Kesihatan Nanga Entabai,7.22,Nanga Meluan,OPEN,9.83
SARAWAK,SARIKEI,RH JANTING,Klinik Kesihatan Nanga Entaih,13.98,Nanga Meluan,OPEN,21.33
SARAWAK,SIBU,RH. GAYUT (RH NGILAH),Klinik Kesihatan Selangau,39.60,Song,OPEN,32.22
SARAWAK,SIBU,NANGA ARAU,Klinik Kesihatan Selangau,35.97,Song,OPEN,33.16
SARAWAK,SIBU,( + RH BALANG ),Klinik Kesihatan Selangau,35.97,Song,OPEN,33.16
SARAWAK,SIBU,( + RH SADOM ),Klinik Kesihatan Selangau,35.97,Song,OPEN,33.16
SARAWAK,SIBU,RH ANSI,Klinik Kesihatan Tatau,26.86,Balingian,OPEN,16.40
SARAWAK,SIBU,RH. ASUN,Klinik Kesihatan Selangau,14.24,Tamin,OPEN,32.15
SARAWAK,SIBU,RH. SELIAU,Klinik Kesihatan Selangau,30.27,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.25
SARAWAK,SIBU,( + RH PENGUANG ),Klinik Kesihatan Selangau,30.27,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.25
SARAWAK,SIBU,( + RH SEMUKAU ),Klinik Kesihatan Selangau,30.27,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.25
SARAWAK,SIBU,RH. KIROH,Klinik Kesihatan Sekuau,16.32,Kg Muhibbah,OPEN,14.28
SARAWAK,SIBU,RH. ENJAH,Klinik Kesihatan Sekuau,18.74,Kg Muhibbah,OPEN,13.26
SARAWAK,SIBU,"RH. ENGKAYAU, ULU MACHAN",Klinik Kesihatan Machan,11.16,Machan,OPEN,11.39
SARAWAK,SIBU,( + RH MANILLA ),Klinik Kesihatan Machan,11.16,Machan,OPEN,11.39
SARAWAK,SIBU,( + RH UBONG ),Klinik Kesihatan Machan,11.16,Machan,OPEN,11.39
SARAWAK,SIBU,RH. JANTING,PKD KANOWIT,,Rumah Benjamin,OPEN,19.10
SARAWAK,SIBU,( + RH TIGONG ),PKD KANOWIT,,Rumah Benjamin,OPEN,19.10
SARAWAK,SIBU,( + RH ANTAS ),PKD KANOWIT,,Rumah Benjamin,OPEN,19.10
SARAWAK,SIBU,RH. UNJAU POI,Klinik Kesihatan Nanga Poi (Menalun),15.05,Rumah Benjamin,OPEN,20.28
SARAWAK,SIBU,"RH. JARAU, JAGAU",Klinik Kesihatan Nanga Jagau,2.95,Nanga Ngungun,OPEN,20.63
SARAWAK,SIBU,( + RH SALANG ),Klinik Kesihatan Nanga Jagau,2.95,Nanga Ngungun,OPEN,20.63
SARAWAK,SIBU,( + RH MANGGAL ),Klinik Kesihatan Nanga Jagau,2.95,Nanga Ngungun,OPEN,20.63
SARAWAK,KAPIT,"RH. NUGA, SG. SEMUNJAN",Klinik Kesihatan Kapit,13.72,Pekan Kapit,OPEN,14.50
SARAWAK,KAPIT,"RH. MANILA, SG. SEMUNJAN",Klinik Kesihatan Kapit,12.81,Pekan Kapit,OPEN,13.52
SARAWAK,KAPIT,"RH. LIUN, IBAU",Klinik Kesihatan Kapit,24.63,Song,OPEN,19.34
SARAWAK,KAPIT,"RH. MESSOP, IBAU",Klinik Kesihatan Kapit,27.01,Song,OPEN,15.94
SARAWAK,KAPIT,"RH. BERANGAN, SG IRAN PELAGUS",Klinik Kesihatan Kapit,27.55,Pekan Kapit,OPEN,26.95
SARAWAK,KAPIT,"RH. SARI, SG IRAN SONG",Klinik Kesihatan Kapit,55.24,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",8.50
SARAWAK,KAPIT,RH. AJAN LONG SINGUT,Klinik Kesihatan Kapit,172.84,Pekan Tunoh,OPEN,98.50
SARAWAK,KAPIT,"RH. ACHAU, SG JANAN TEKALIT",Klinik Kesihatan Kapit,19.69,Sungai Pelajau,OPEN,16.49
SARAWAK,KAPIT,"RH. LAYANG, SG AYAT BANGKIT",Klinik Kesihatan Kapit,41.84,Sungai Melekun,OPEN,31.60
SARAWAK,KAPIT,"RH. AI ANAK JALIN, SG. ENTAWAU, BENA, BALLEH",Klinik Kesihatan Kapit,31.80,Sungai Melekun,OPEN,22.86
