NEGERI,DAERAH,PARLIMEN,DUN,LOKASI PERKHIDMATAN KLINIK BERGERAK,ORI_LATITUDE,ORI_LONGITUDE,LATITUDE,LONGITUDE,SASARAN JUMLAH LAWATAN DALAM SETAHUN,PERKHIDMATAN - JPL (YA/TIDAK),PERKHIDMATAN - MCH (YA/TIDAK),PASUKAN YANG MENJALANKAN PERKHIDMATAN KLINIK BERGERAK,MOD PERKHIDMATAN KLINIK BERGERAK (DARAT/ AIR/ UDARA),JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - KM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - JAM,JARAK LOKASI KLINIK BERGERAK DENGAN LOKASI PASUKAN KLINIK BERGERAK - MINIT,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - NAMA FASILITI,JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (KM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (JAM),JARAK LOKASI KLINIK BERGERAK DENGAN KLINIK KESIHATAN BERDEKATAN - JARAK (MINIT),KENDERAAN DARAT - 4WD,KENDERAAN DARAT - VAN,KENDERAAN DARAT - BUS,KENDERAAN AIR - BOT,KENDERAAN AIR - PERAHU PANJANG,KENDERAAN AIR - ENJIN BOT,KK RUJUKAN DIPADANKAN,JARAK GARIS LURUS FDS-KK (KM),NADI TERDEKAT,STATUS NADI,JARAK GARIS LURUS FDS-NADI (KM)
SARAWAK,SRI AMAN,P203 Lubok Antu,N.33 Engkilili,NANGA BAWI,N012106.30,E1115222.80,1.35175,111.873,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,160,5,0,KK Patoh,70,2,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,P204 Lubok Antu,N.34 Engkilili,(+ RH. DASU),N012106.30,E1115222.80,1.35175,111.873,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,160,5,0,KK Patoh,70,2,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,P205 Lubok Antu,N.35 Engkilili,(+ RH. CHENDAN),N012106.30,E1115222.80,1.35175,111.873,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,160,5,0,KK Patoh,70,2,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,P206 Lubok Antu,N.36 Engkilili,(+ RH. BAKAR),N012106.30,E1115222.80,1.35175,111.873,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,160,5,0,KK Patoh,70,2,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,P207 Lubok Antu,N.37 Engkilili,(+ RH. LUTA),N012106.30,E1115222.80,1.35175,111.873,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,160,5,0,KK Patoh,70,2,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Patoh,4.81,Engkilili,OPEN,33.03
SARAWAK,SRI AMAN,P203 Lubok Antu,N.33 Engkilili,"RH. LIDOM, SG PAYA, MENJUAU",N013408.39,E1114919.5,1.56899722222222,111.822083333333,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,277,6,0,KK KARA,50,2,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,KK KARA,,Paku Penom,OPEN,26.63
SARAWAK,SRI AMAN,P203 Lubok Antu,N.33 Engkilili,"RH. RIMONG, BEGANTONG, ULU SKRANG",N013107.3,E1114731.2,1.51869444444444,111.792,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,130,4,30,KK SKRANG,105,2,30,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Skrang,32.41,Paku Penom,OPEN,25.32
SARAWAK,SRI AMAN,P202 Sri Aman,N.33 Engkilili,"RH. BADA, NG. TALONG, ULU ENGKARI",N012318.09,E1115900.60,1.38835833333333,111.9835,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,120,6,0,KK STAMANG,60,5,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Nanga Stamang,9.49,Lubok Antu,OPEN,41.92
SARAWAK,SRI AMAN,P202 Sri Aman,N.31Bukit Bangunan,"RH. MAMUT, LANGGIR, ULU LINGGA",N011703.5,E1110940.4,1.28430555555556,111.161222222222,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,100,4,30,KK LINGGA,45,3,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Lingga,7.64,Lingga,OPEN,7.79
SARAWAK,SRI AMAN,P203 Lubok Antu,N.33 Engkilili,"RH.THOMAS,BANGAI",N012508.93,E1115210.8,1.41914722222222,111.869666666667,12,Ya,Ya,FDS (P) PKD SRI AMAN 1,Udara,190,6,0,KK ENGKELILI,150,5,0,TIADA,TIADA,TIADA,TIADA,TIADA,TIADA,Klinik Kesihatan Engkilili,40.44,Kampung Baru Hulu,OPEN,37.52
