candidate_id,candidate_name,candidate_type,source,source_url,public_ownership_evidence,coordinate_basis,name_key,duplicate_of,country_boundary_flag,distance_to_fds_km,rank_by_distance,label,elevation_m,slope_deg,nearest_mapped_road_km,nearest_track_km,nearest_waterway_km,nearest_mapped_road_name,nearest_road_surface,nearest_road_access_tag,straightline_waterway_intersections,within_fds_5km,site_id,fds_name,state,longitude,latitude,feasibility
K0408,Klinik Kesihatan Nanga Patoh,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2490,health-facility register; confirm property and operating status,supplied register coordinates,NANGAPATOH,NA,within Malaysia or boundary tolerance,4.806006526498423,1,C01,102.20064544677734,12.39127254486084,0.24748708364232844,2.5619031973809876,0.0770727744085366,,,,2,TRUE,S001,NANGA BAWI,SARAWAK,111.83277,1.3359219999999998,Candidate for field review; conversion suitability unverified
OSM_way/1529281236,SK Menyebat,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/1529281236,public/government OSM tag,OSM point or point on mapped facility footprint,MENYEBAT,NA,within Malaysia or boundary tolerance,8.639722254421292,2,C02,65.92736053466797,6.7921905517578125,4.538679630230149,0.4136599517129505,0.05845825554455405,,,,2,FALSE,S001,NANGA BAWI,SARAWAK,111.82285097385669,1.2923908172341452,Candidate for field review; conversion suitability unverified
K0411,Klinik Kesihatan Nanga Stamang,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2493,health-facility register; confirm property and operating status,supplied register coordinates,NANGASTAMANG,NA,within Malaysia or boundary tolerance,8.946002866417036,3,C03,146.25741577148438,9.842660903930664,12.404990190609213,0.08143732364830428,0.05083997198832558,,,,1,FALSE,S001,NANGA BAWI,SARAWAK,111.94352,1.3129899999999999,Candidate for field review; conversion suitability unverified
OSM_way/1529281237,SK Nanga Tibu,school,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/way/1529281237,public/government OSM tag,OSM point or point on mapped facility footprint,NANGATIBU,NA,within Malaysia or boundary tolerance,9.10892244545191,4,C04,131.61709594726563,9.328667640686035,12.11916658109412,0.14619849834677223,0.04704850899127026,,,,2,FALSE,S001,NANGA BAWI,SARAWAK,111.93833154866958,1.3023061021438407,Candidate for field review; conversion suitability unverified
K0293,Klinik Kesihatan Kemalih,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2236,health-facility register; confirm property and operating status,supplied register coordinates,KEMALIH,NA,within Malaysia or boundary tolerance,8.99021910126303,1,C01,105.25508880615234,1.8813458681106567,0.0696513634902062,0.22292327719892002,0.01761086281780359,,,,1,FALSE,S002,"RH. LIDOM, SG PAYA, MENJUAU",SARAWAK,111.82094,1.6498399999999998,Candidate for field review; conversion suitability unverified
K0392,Klinik Kesihatan Nanga Entalau,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2474,health-facility register; confirm property and operating status,supplied register coordinates,NANGAENTALAU,NA,within Malaysia or boundary tolerance,6.918751200952197,1,C01,97.5183334350586,1.9087915420532227,0.10326444043713913,0.30095734184280665,0.14853367204527174,,,,1,FALSE,S003,"RH. RIMONG, BEGANTONG, ULU SKRANG",SARAWAK,111.790157,1.4565,Candidate for field review; conversion suitability unverified
K0411,Klinik Kesihatan Nanga Stamang,Klinik Kesihatan,Supplied health-facility register,data/kk_list.xlsx#Sheet1!row=2493,health-facility register; confirm property and operating status,supplied register coordinates,NANGASTAMANG,NA,within Malaysia or boundary tolerance,9.486120321451185,1,C01,142.48193359375,8.005819320678711,NA,0.08143732364830428,0.05083997198832558,NA,NA,NA,2,FALSE,S004,"RH. BADA, NG. TALONG, ULU ENGKARI",SARAWAK,111.94352,1.3129899999999999,Candidate for field review; conversion suitability unverified
OSM_node/12989046761,Pos Malaysia Lingga,post_office,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/12989046761,ownership not recorded; verify,OSM point or point on mapped facility footprint,POSMALAYSIALINGGA,NA,within Malaysia or boundary tolerance,7.589340902120279,1,C01,7.737441062927246,1.0537439584732056,0.017217230686867178,0.34089357523237634,0.6397097728526939,,,,1,FALSE,S005,"RH. MAMUT, LANGGIR, ULU LINGGA",SARAWAK,111.171618,1.3517621000000004,Candidate for field review; conversion suitability unverified
OSM_node/12989046760,Pejabat Daerah Kecil Lingga,government office,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/12989046760,government office tag,OSM point or point on mapped facility footprint,PEJABATDAERAHKECILLINGGA,NA,within Malaysia or boundary tolerance,7.592125756347408,2,C02,7.737441062927246,1.0537439584732056,0.013817437203625223,0.3375836728315475,0.6410465594294505,,,,1,FALSE,S005,"RH. MAMUT, LANGGIR, ULU LINGGA",SARAWAK,111.1716675,1.3517797999999996,Candidate for field review; conversion suitability unverified
OSM_node/12987001361,Stesen Meteorologi Auksiliari (AAWS) Lingga,government office,OpenStreetMap / Geofabrik,https://www.openstreetmap.org/node/12987001361,government office tag,OSM point or point on mapped facility footprint,STESENMETEOROLOGIAUKSILIARIAAWSLINGGA,NA,within Malaysia or boundary tolerance,7.594358142501576,3,C03,6.690124034881592,1.2417186498641968,0.03821940918882339,0.33857658290353904,0.6223259414866628,,,,1,FALSE,S005,"RH. MAMUT, LANGGIR, ULU LINGGA",SARAWAK,111.17144139999999,1.3518347000000002,Candidate for field review; conversion suitability unverified
