state,named_kk,kk_key,kk_id,match_method,candidates,alias_reason,matched_kk_name,matched_hf_code,matched_latitude,matched_longitude
SARAWAK,KK Patoh,PATOH,K0408,documented name alias,NA,Nanga prefix omitted in FDS,Klinik Kesihatan Nanga Patoh,21-13140147,1.335922,111.83277
SARAWAK,KK KARA,KARA,NA,unmatched,K0216 Klinik Kesihatan Daro; K0523 Klinik Kesihatan Tarat; K0180 Klinik Kesihatan Bako,NA,NA,NA,NA,NA
SARAWAK,KK SKRANG,SKRANG,K0492,exact normalized name,NA,NA,Klinik Kesihatan Skrang,21-13300197,1.280156,111.62453
SARAWAK,KK STAMANG,STAMANG,K0411,documented name alias,NA,Nanga prefix omitted in FDS,Klinik Kesihatan Nanga Stamang,21-13140253,1.31299,111.94352
SARAWAK,KK LINGGA,LINGGA,K0324,exact normalized name,NA,NA,Klinik Kesihatan Lingga,21-13300109,1.35271,111.1676
SARAWAK,KK ENGKELILI,ENGKELILI,K0219,documented name alias,NA,Spelling variant,Klinik Kesihatan Engkilili,21-13140073,1.137979,111.638972
SARAWAK,KK PANTU,PANTU,K0435,exact normalized name,NA,NA,Klinik Kesihatan Pantu,21-13300169,1.142232,111.117207
SARAWAK,KLINIK KESIHATAN NANGA KARA,NANGAKARA,K0397,exact normalized name,NA,NA,Klinik Kesihatan Nanga Kara,21-13210160,1.91616,111.73739
SARAWAK,KK PAKAN,PAKAN,K0430,exact normalized name,NA,NA,Klinik Kesihatan Pakan,21-13210166,1.88636,111.6765
SARAWAK,KK SEKALONG,SEKALONG,K0467,exact normalized name,NA,NA,Klinik Kesihatan Sekalong,21-13080186,1.90385,111.85042
SARAWAK,KK JULAU,JULAU,K0282,exact normalized name,NA,NA,Klinik Kesihatan Julau,21-13080078,2.02596,111.91293
SARAWAK,KK NANGA TIGA,NANGATIGA,K0416,exact normalized name,NA,NA,Klinik Kesihatan Nanga Tiga,21-13040162,1.60815,111.69755
SARAWAK,KK NANGA MAONG,NANGAMAONG,K0358,documented name alias,NA,Maong name with alternative local name in KK register,Klinik Kesihatan Maong (Mujok),21-13080145,1.73997,112.03309
SARAWAK,KK NANGA ENSIRING,NANGAENSIRING,K0389,exact normalized name,NA,NA,Klinik Kesihatan Nanga Ensiring,21-13080158,1.66321,112.03503
SARAWAK,KK NANGA ENTABAI,NANGAENTABAI,K0390,exact normalized name,NA,NA,Klinik Kesihatan Nanga Entabai,21-13080134,1.792228,111.921208
SARAWAK,KK NANGA ENTAIH,NANGAENTAIH,K0391,exact normalized name,NA,NA,Klinik Kesihatan Nanga Entaih,21-13210135,1.68977,111.76232
SARAWAK,KK SELANGAU,SELANGAU,K0470,exact normalized name,NA,NA,Klinik Kesihatan Selangau,21-13250188,2.527674,112.32911
