fds_id,site_id,state,fds_name,nearest_nadi_name,nearest_nadi_status,nearest_nadi_km,nearest_open_nadi_name,nearest_open_nadi_km
F001,S001,SARAWAK,NANGA BAWI,Engkilili,OPEN,33.02560546981243,Engkilili,33.02560546981243
F002,S001,SARAWAK,(+ RH. DASU),Engkilili,OPEN,33.02560546981243,Engkilili,33.02560546981243
F003,S001,SARAWAK,(+ RH. CHENDAN),Engkilili,OPEN,33.02560546981243,Engkilili,33.02560546981243
F004,S001,SARAWAK,(+ RH. BAKAR),Engkilili,OPEN,33.02560546981243,Engkilili,33.02560546981243
F005,S001,SARAWAK,(+ RH. LUTA),Engkilili,OPEN,33.02560546981243,Engkilili,33.02560546981243
F006,S002,SARAWAK,"RH. LIDOM, SG PAYA, MENJUAU",Paku Penom,OPEN,26.63230823609008,Paku Penom,26.63230823609008
F007,S003,SARAWAK,"RH. RIMONG, BEGANTONG, ULU SKRANG",Paku Penom,OPEN,25.317162857038813,Paku Penom,25.317162857038813
F008,S004,SARAWAK,"RH. BADA, NG. TALONG, ULU ENGKARI",Lubok Antu,OPEN,41.91513065932925,Lubok Antu,41.91513065932925
F009,S005,SARAWAK,"RH. MAMUT, LANGGIR, ULU LINGGA",Lingga,OPEN,7.790267400144805,Lingga,7.790267400144805
F010,S006,SARAWAK,"RH.THOMAS,BANGAI",Kampung Baru Hulu,OPEN,37.51723052450587,Kampung Baru Hulu,37.51723052450587
F011,S007,SARAWAK,"RH.MUNGGU SAWA,PANTU",Lingga,OPEN,13.665903719666824,Lingga,13.665903719666824
F012,S008,SARAWAK,SK KOTA,Paku Penom,OPEN,9.972237911755162,Paku Penom,9.972237911755162
F013,S009,SARAWAK,RH UMAR,Pekan Pakan,OPEN,16.345889754490287,Pekan Pakan,16.345889754490287
F014,S010,SARAWAK,RH BARAK,Nanga Meluan,OPEN,12.575995823757205,Nanga Meluan,12.575995823757205
F015,S011,SARAWAK,RH TAWIE,Pekan Pakan,OPEN,12.1062040062777,Pekan Pakan,12.1062040062777
F016,S012,SARAWAK,RH BUGIE,Nanga Meluan,OPEN,4.212586365735702,Nanga Meluan,4.212586365735702
F017,S013,SARAWAK,RH ENGGIE,Paku Penom,OPEN,23.22661708023934,Paku Penom,23.22661708023934
F018,S014,SARAWAK,SK JU,Nanga Meluan,OPEN,24.13009938007504,Nanga Meluan,24.13009938007504
F019,S015,SARAWAK,SK JAMBU,Nanga Meluan,OPEN,21.441375176734805,Nanga Meluan,21.441375176734805
F020,S016,SARAWAK,RH KIROH,Nanga Meluan,OPEN,9.831533535963738,Nanga Meluan,9.831533535963738
F021,S017,SARAWAK,RH JANTING,Nanga Meluan,OPEN,21.334412412372117,Nanga Meluan,21.334412412372117
F022,S018,SARAWAK,RH. GAYUT (RH NGILAH),Song,OPEN,32.221470836342704,Song,32.221470836342704
F023,S019,SARAWAK,NANGA ARAU,Song,OPEN,33.157413247581935,Song,33.157413247581935
F024,S019,SARAWAK,( + RH BALANG ),Song,OPEN,33.157413247581935,Song,33.157413247581935
F025,S019,SARAWAK,( + RH SADOM ),Song,OPEN,33.157413247581935,Song,33.157413247581935
F026,S020,SARAWAK,RH ANSI,Balingian,OPEN,16.39830806905985,Balingian,16.39830806905985
F027,S021,SARAWAK,RH. ASUN,Tamin,OPEN,32.15045132875966,Tamin,32.15045132875966
F028,S022,SARAWAK,RH. SELIAU,Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.253863008254005,Kg Nanga Tada,22.253863008254005
F029,S022,SARAWAK,( + RH PENGUANG ),Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.253863008254005,Kg Nanga Tada,22.253863008254005
F030,S022,SARAWAK,( + RH SEMUKAU ),Kg Nanga Tada,"OPEN AT TEMPORARY LOCATION, 500m distance from NADI (2.0866, 112.3608)",22.253863008254005,Kg Nanga Tada,22.253863008254005
F031,S023,SARAWAK,RH. KIROH,Kg Muhibbah,OPEN,14.27915044230767,Kg Muhibbah,14.27915044230767
F032,S024,SARAWAK,RH. ENJAH,Kg Muhibbah,OPEN,13.264505781211641,Kg Muhibbah,13.264505781211641
F033,S025,SARAWAK,"RH. ENGKAYAU, ULU MACHAN",Machan,OPEN,11.393522474496947,Machan,11.393522474496947
F034,S025,SARAWAK,( + RH MANILLA ),Machan,OPEN,11.393522474496947,Machan,11.393522474496947
F035,S025,SARAWAK,( + RH UBONG ),Machan,OPEN,11.393522474496947,Machan,11.393522474496947
F036,S026,SARAWAK,RH. JANTING,Rumah Benjamin,OPEN,19.100972893757454,Rumah Benjamin,19.100972893757454
F037,S026,SARAWAK,( + RH TIGONG ),Rumah Benjamin,OPEN,19.100972893757454,Rumah Benjamin,19.100972893757454
F038,S026,SARAWAK,( + RH ANTAS ),Rumah Benjamin,OPEN,19.100972893757454,Rumah Benjamin,19.100972893757454
