fds_id,site_id,state,district,fds_name,fds_latitude,fds_longitude,nearest_nadi_id,nearest_nadi_name,nadi_latitude,nadi_longitude,distance_km,distance_band,nadi_operation_status,coordinate_basis,nearest_open_nadi_name,nearest_open_nadi_km
F001,S001,SARAWAK,SRI AMAN,NANGA BAWI,1.35175,111.873,Q149,Engkilili,1.138464,111.666259,33.02560546981243,red,OPEN,listed coordinates,Engkilili,33.02560546981243
F002,S001,SARAWAK,SRI AMAN,(+ RH. DASU),1.35175,111.873,Q149,Engkilili,1.138464,111.666259,33.02560546981243,red,OPEN,listed coordinates,Engkilili,33.02560546981243
F003,S001,SARAWAK,SRI AMAN,(+ RH. CHENDAN),1.35175,111.873,Q149,Engkilili,1.138464,111.666259,33.02560546981243,red,OPEN,listed coordinates,Engkilili,33.02560546981243
F004,S001,SARAWAK,SRI AMAN,(+ RH. BAKAR),1.35175,111.873,Q149,Engkilili,1.138464,111.666259,33.02560546981243,red,OPEN,listed coordinates,Engkilili,33.02560546981243
F005,S001,SARAWAK,SRI AMAN,(+ RH. LUTA),1.35175,111.873,Q149,Engkilili,1.138464,111.666259,33.02560546981243,red,OPEN,listed coordinates,Engkilili,33.02560546981243
F006,S002,SARAWAK,SRI AMAN,"RH. LIDOM, SG PAYA, MENJUAU",1.56899722222222,111.822083333333,Q93,Paku Penom,1.619842,111.587942,26.63230823609008,red,OPEN,listed coordinates,Paku Penom,26.63230823609008
F007,S003,SARAWAK,SRI AMAN,"RH. RIMONG, BEGANTONG, ULU SKRANG",1.51869444444444,111.792,Q93,Paku Penom,1.619842,111.587942,25.317162857038813,red,OPEN,listed coordinates,Paku Penom,25.317162857038813
F008,S004,SARAWAK,SRI AMAN,"RH. BADA, NG. TALONG, ULU ENGKARI",1.38835833333333,111.9835,Q154,Lubok Antu,1.04125,111.83647,41.91513065932925,red,OPEN,listed coordinates,Lubok Antu,41.91513065932925
F009,S005,SARAWAK,SRI AMAN,"RH. MAMUT, LANGGIR, ULU LINGGA",1.28430555555556,111.161222222222,Q134,Lingga,1.35401,111.168268,7.790267400144805,yellow,OPEN,listed coordinates,Lingga,7.790267400144805
F010,S006,SARAWAK,SRI AMAN,"RH.THOMAS,BANGAI",1.41914722222222,111.869666666667,Q126,Kampung Baru Hulu,1.417356,111.532168,37.51723052450587,red,OPEN,listed coordinates,Kampung Baru Hulu,37.51723052450587
F011,S007,SARAWAK,SRI AMAN,"RH.MUNGGU SAWA,PANTU",1.23119444444444,111.172830555556,Q134,Lingga,1.35401,111.168268,13.665903719666824,red,OPEN,listed coordinates,Lingga,13.665903719666824
